BACKFIELD CODE,BACKS,PERSONNEL GROUPS,DESCRIPTION
UNDER EMPTY,0,"10,11,12,13,21","QB UNDER CENTER, NO RB/FB/H IN BACKFIELD (EMPTY LOOK)."
GUN EMPTY,0,"10,11,12,13","QB IN SHOTGUN, ALL BACKS SPLIT OUT (EMPTY)."
PISTOL EMPTY,0,"10,11,12,13",QB AT PISTOL DEPTH WITH NO BACK DIRECTLY BEHIND (EMPTY VARIANT).
UNDER DOT,1,"10,11,12,13,21",ONE BACK DIRECTLY BEHIND QB UNDER CENTER (ACE / DOT).
UNDER OFFSET STR,1,"10,11,12,13,21","ONE BACK UNDER CENTER, SHADED TO STRONG SIDE GUARD/TACKLE."
UNDER OFFSET WK,1,"10,11,12,13,21","ONE BACK UNDER CENTER, SHADED TO WEAK SIDE GUARD/TACKLE."
PISTOL,1,"10,11,12,13,21","QB IN GUN, ONE BACK DIRECTLY BEHIND AT 6â€“7 YDS (CLASSIC PISTOL)."
GUN KING,1,"10,11,12,13",ONE BACK OFFSET TO STRENGTH IN SHOTGUN (KING = BACK STRONG).
GUN QUEEN,1,"10,11,12,13",ONE BACK OFFSET AWAY FROM STRENGTH (QUEEN = BACK WEAK).
GUN FIELD,1,"10,11,12,13",ONE BACK OFFSET TO FIELD SIDE.
GUN BOUNDARY,1,"10,11,12,13",ONE BACK OFFSET TO BOUNDARY SIDE.
GUN MID,1,"10,11,12,13",ONE BACK OFFSET BUT TIGHT TO QB (MIDPOINT / INSIDE ALIGNMENT).
I,2,"21,22,23","TRADITIONAL I: FB AT 4 YDS DIRECTLY BEHIND QB, TB DIRECTLY BEHIND FB AT ~7."
STRONG I,2,"21,22,23","I WITH FB SHADED TO TE/FORMATION STRENGTH, TB DIRECTLY BEHIND."
WEAK I,2,"21,22,23","I WITH FB SHADED AWAY FROM STRENGTH, TB DIRECTLY BEHIND."
PRO,2,"21,22",TWO BACKS OFFSET BEHIND EACH TACKLE AT SAME DEPTH (CLASSIC PRO SET / SPLIT).
NEAR,2,"21,22","TWO-BACK UNDER CENTER, STRONG BACK CLOSER TO LOS (NEAR), OTHER DEEPER."
FAR,2,"21,22","TWO-BACK UNDER CENTER, WEAK BACK CLOSER TO LOS (FAR), OTHER DEEPER."
SPLIT,2,"20,21,22",TWO BACKS SPLIT EVENLY TO EACH SIDE OF QB (CAN BE UNDER OR GUN).
GUN SPLIT,2,"20,21",TWO BACKS ON EITHER SIDE OF QB IN SHOTGUN (SPLIT GUN).
GUN KING 2 BACK,2,"20,21,22,23",2-BACK GUN WITH PRIMARY BACK STRONG (FULLBACK/H TO STRENGTH).
GUN QUEEN 2 BACK,2,"20,21,22,23",2-BACK GUN WITH PRIMARY BACK WEAK.
GUN NEAR 2 BACK,2,"20,21","TWO BACKS GUN, NEAR BACK TIGHTER/DEEPER TO STRENGTH."
GUN FAR 2 BACK,2,"20,21","TWO BACKS GUN, FAR BACK AWAY FROM STRENGTH."
PISTOL NEAR,2,"20,21,22","ONE BACK DIRECTLY BEHIND QB, SECOND OFFSET TO STRONG SIDE."
PISTOL FAR,2,"20,21,22","ONE BACK DIRECTLY BEHIND QB, SECOND OFFSET TO WEAK SIDE."
POWER BACKFIELD,2,"20,21,22","QB UNDER OR GUN, TB DEEP, FB/H OFFSET AS LEAD INSERT (CLASSIC POWER LOOK)."
FULL HOUSE,3,"23,30",THREE BACKS IN TRIANGLE BEHIND QB (FULL HOUSE / T).
WISHBONE,3,"23,30","FULLBACK DIRECTLY BEHIND QB, TWO HALFBACKS OFFSET BEHIND TACKLES (WISHBONE)."
T BONE,3,"23,30","ONE DEEP BACK, TWO WINGS JUST OFF TACKLES (T / Y-BONE STYLE)."
GUN DIAMOND,3,"20,21,23,30",QB IN GUN WITH THREE BACKS AT SAME DEPTH AROUND HIM (DIAMOND).
PISTOL DIAMOND,3,"23,30","QB AT PISTOL DEPTH, THREE BACKS STACKED/ANGLED BEHIND IN DIAMOND RELATIONSHIP."
